,sentence #,rule #,text,corrected,ranking
2002,16975,265.0,The falsity findings as to LTVs/CLTVs arose from the fact that the,The falsity findings to LTVs/CLTVs arose from the fact that the,3
2003,16976,265.0,The falsity findings as to LTVs/CLTVs arose from the fact that the,The falsity findings for LTVs/CLTVs arose from the fact that the,4
2004,16977,265.0,The falsity findings as to LTVs/CLTVs arose from the fact that the,The falsity findings in LTVs/CLTVs arose from the fact that the,4
2005,17089,265.0,"fact, and the trial court's findings as to those facts may not be set aside unless they are clearly erroneous.""","fact, and the trial court's findings on those facts may not be set aside unless they are clearly erroneous.""",3
2006,17090,265.0,"fact, and the trial court's findings as to those facts may not be set aside unless they are clearly erroneous.""","fact, and the trial court's findings about those facts may not be set aside unless they are clearly erroneous.""",3
2007,17091,265.0,"fact, and the trial court's findings as to those facts may not be set aside unless they are clearly erroneous.""","fact, and the trial court's findings to those facts may not be set aside unless they are clearly erroneous.""",4
2008,17092,265.0,"fact, and the trial court's findings as to those facts may not be set aside unless they are clearly erroneous.""","fact, and the trial court's findings for those facts may not be set aside unless they are clearly erroneous.""","1 - The revision changes the meaning of the sentence, making it less accurate. The original phrase ""findings as to those facts"" means the court's interpretation or judgment of the facts, while ""findings for those facts"" suggests the court is searching or looking for facts."
2009,17093,265.0,"fact, and the trial court's findings as to those facts may not be set aside unless they are clearly erroneous.""","fact, and the trial court's findings in those facts may not be set aside unless they are clearly erroneous.""","1 - The revision changes the meaning of the sentence, making it less accurate."
2010,17102,265.0,"Defendants were making the same representation as to named and unnamed originators-specifically, that the loans complied with ""underwriting criteria used to originate the pool assets.""","Defendants were making the same representation on named and unnamed originators-specifically, that the loans complied with ""underwriting criteria used to originate the pool assets.""",3
2011,17103,265.0,"Defendants were making the same representation as to named and unnamed originators-specifically, that the loans complied with ""underwriting criteria used to originate the pool assets.""","Defendants were making the same representation about named and unnamed originators-specifically, that the loans complied with ""underwriting criteria used to originate the pool assets.""",3
2012,17104,265.0,"Defendants were making the same representation as to named and unnamed originators-specifically, that the loans complied with ""underwriting criteria used to originate the pool assets.""","Defendants were making the same representation to named and unnamed originators-specifically, that the loans complied with ""underwriting criteria used to originate the pool assets.""","1 - The revision changes the meaning of the sentence. The original sentence implies that the defendants were making a claim about the originators, while the revised sentence suggests that the defendants were making a claim to the originators."
